,text
0,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
1,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
2,"RT @PTIofficial: Arundhati Roy isn’t much wrong in calling India a graveyard for Muslims since according to Amnesty International in 2015,…"
3,"RT @zari_pakistani: Kashmiris Use Memes to Mock Government's Social Media Ban, Slow 2G Services

Users have mocked the authorities for thei…"
4,"RT @Husnain4s_: 200+ days of lockdown in #Kashmir. Hidden behind the headlines, Kashmiris Continue to survive. Like never before.
#KashmirL…"
5,@HerNameIs_Bea's account has been withheld in India in response to a legal demand. Learn more.
6,"RT @KASHMlRandME: Do you remember Kunan Poshpora? 
When Kupwara witnessed something so drastic that a Kashmiris should have never forgotten…"
7,"RT @zari_pakistani: Kashmiris Use Memes to Mock Government's Social Media Ban, Slow 2G Services

Users have mocked the authorities for thei…"
8,RT @pzfahad: AUGUST FALLOUT: Only 400 Shikaras are rowing out of total 4500 in #Kashmir's Dal Lake as tourists continue to stay away since…
9,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
10,"RT @KASHMlRandME: Delicate they may be, but
they cannot be repressed.

#Kashmir
#WomenResistanceDay https://t.co/InRnbUrbs4"
11,"RT @payyaboy: @AskAnshul @AmitShah ji @DelhiPolice @LtGovDelhi please show 56” @narendramodi is known for.
There is limit to anarchism.
We…"
12,"RT @KASHMlRandME: ""The women who sees without being seen frustrates the colonizer.""

~Frantz Fanon

#Kashmir
#WomenResistanceDay https://t.…"
13,"RT @zari_pakistani: Kashmiris Use Memes to Mock Government's Social Media Ban, Slow 2G Services

Users have mocked the authorities for thei…"
14,Kashmir 'mass rape' survivors fight for justice - BBC News #kashmir #indianstateterrorism https://t.co/RJMNwQ06Nj
15,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
16,RT @NadiyaRahman4: @VPSecretariat #Kashmir  The heaven on earth... https://t.co/y7htVCacxI
17,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
18,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
19,"RT @SoStarMusic: PM urges world to become voice of resilient Kashmiri women

“Their sufferings have multiplied after 5 Aug siege by #Modi G…"
20,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
21,"👇Limits of Indian Liberalism. 
#KunanPoshpora #Kashmir #India https://t.co/t6pAzj9Mhx"
22,"RT @HumanRightsPath: Kashmiri Women Resistance Day observed on both sides of LoC

#LetKashmirSpeak #StandWithKashmir #SaveKashmiriWomen 

@…"
23,"RT @zari_pakistani: Trump likely to discuss Pak-India tensions in talks with Modi

#LetKashmirSpeak #StandWithKashmir #SaveKashmiriWomen…"
24,"RT @PTIofficial: Since 1989, onwards uncountable women have been displaced, raped and murdered brutally. All the organizations around the w…"
25,"RT @sarataseer: Shameful strong arming of minorities, our fellow Pakistanis. Everyone who raises concerns over #Indian action in #Kashmir s…"
26,"RT @zari_pakistani: Kashmiris Use Memes to Mock Government's Social Media Ban, Slow 2G Services

Users have mocked the authorities for thei…"
27,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
28,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
29,"RT @mehar3231: @majorgauravarya @realDonaldTrump The Department of Youth Services &amp; Sports, Ganderbal in collaboration with District Admini…"
30,RT @mehar3231: @majorgauravarya #Pakistan is facing financial crises that's why they beg from rich countries. Perhaps #Turkey doesn't know…
31,"RT @_Rizwan90: K-Twitter in 2020: Abusive,Racist,Showoff,Flirting etc..
Really miss that old K-Twitter Full of genuine &amp; Decent Discussions…"
32,"You cowards, remember! ""Everything you have done will be remembered.""

""Sab yaad rakha jayega, Sab kuch yaad rakha… https://t.co/QIuSBBsar4"
33,"RT @KASHMlRandME: ""The women who sees without being seen frustrates the colonizer.""

~Frantz Fanon

#Kashmir
#WomenResistanceDay https://t.…"
34,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
35,"RT @SoStarMusic: PM urges world to become voice of resilient Kashmiri women

“Their sufferings have multiplied after 5 Aug siege by #Modi G…"
36,"RT @786__Zakia: The next time you see a Kashmiri, give them a hug!

#Kashmir https://t.co/fAoE1U41Hp"
37,"RT @786__Zakia: Kashmir is face of India,I love my India

Kashmir has never been""Normal""in my 24year old, and sadly it was all Pakistan's t…"
